#JD1 JD2 X1 Y1 Z1 X2 Y2 Z2 X3 Y3 Z3
3095
2458657.78  69.00  -59298299.040 -138952879.597    1547722.845  -54648811.790 -140689163.313    1266136.690  -56405786.488 -137717019.192   -2371346.093
2458658.78  70.00  -56938252.551 -139908735.933    1513621.749  -52271214.831 -141606415.624    1305252.840  -54002761.790 -138669399.840   -2372442.663
2458659.78  71.00  -54561841.149 -140824382.896    1479085.619  -49878562.076 -142482883.997    1343993.042  -51583508.902 -139580112.266   -2372826.282
2458660.78  72.00  -52169739.554 -141699535.969    1444124.157  -47471547.084 -143318328.647    1382346.256  -49148752.655 -140448877.025   -2372496.736
2458661.78  73.00  -49762627.575 -142533921.604    1408747.193  -45050866.994 -144112521.371    1420301.558  -46699222.797 -141275427.349   -2371454.029
2458662.78  74.00  -47341189.941 -143327277.325    1372964.684  -42617222.347 -144865245.603    1457848.139  -44235653.757 -142059509.242   -2369698.382
2458663.78  75.00  -44906116.133 -144079351.814    1336786.712  -40171316.891 -145576296.448    1494975.313  -41758784.430 -142800881.562   -2367230.230
2458664.78  76.00  -42458100.216 -144789905.004    1300223.478  -37713857.403 -146245480.728    1531672.514  -39269357.941 -143499316.106   -2364050.230
2458665.78  77.00  -39997840.667 -145458708.169    1263285.306  -35245553.494 -146872617.016    1567929.303  -36768121.420 -144154597.683   -2360159.253
2458666.78  78.00  -37526040.196 -146085544.012    1225982.634  -32767117.426 -147457535.670    1603735.367  -34255825.769 -144766524.194   -2355558.386
2458667.78  79.00  -35043405.579 -146670206.748    1188326.016  -30279263.924 -148000078.871    1639080.527  -31733225.429 -145334906.693   -2350248.934
2458668.78  80.00  -32550647.472 -147212502.184    1150326.117  -27782709.987 -148500100.643    1673954.733  -29201078.146 -145859569.459   -2344232.418
2458669.78  81.00  -30048480.236 -147712247.803    1111993.714  -25278174.704 -148957466.887    1708348.071  -26660144.738 -146340350.054   -2337510.574
2458670.78  82.00  -27537621.757 -148169272.840    1073339.686  -22766379.063 -149372055.401    1742250.768  -24111188.858 -146777099.377   -2330085.354
2458671.78  83.00  -25018793.261 -148583418.355    1034375.021  -20248045.761 -149743755.903    1775653.188  -21554976.753 -147169681.719   -2321958.925
2458672.78  84.00  -22492719.127 -148954537.308     995110.806  -17723899.024 -150072470.049    1808545.838  -18992277.030 -147517974.810   -2313133.667
2458673.78  85.00  -19960126.703 -149282494.630     955558.226  -15194664.408 -150358111.447    1840919.371  -16423860.412 -147821869.863   -2303612.176
2458674.78  86.00  -17421746.118 -149567167.286     915728.564  -12661068.622 -150600605.674    1872764.587  -13850499.502 -148081271.610   -2293397.257
2458675.78  87.00  -14878310.092 -149808444.345     875633.195  -10123839.334 -150799890.284    1904072.435  -11272968.540 -148296098.339   -2282491.930
2458676.78  88.00  -12330553.742 -150006227.038     835283.585   -7583704.983 -150955914.817    1934834.016   -8692043.158 -148466281.923   -2270899.425
2458677.78  89.00   -9779214.391 -150160428.821     794691.287   -5041394.595 -151068640.803    1965040.586   -6108500.144 -148591767.847   -2258623.183
2458678.78  90.00   -7225031.374 -150270975.427     753867.938   -2497637.594 -151138041.767    1994683.555   -3523117.194 -148672515.225   -2245666.853
2458679.78  91.00   -4668745.837 -150337804.928     712825.258      46836.388 -151164103.228    2023754.492    -936672.670 -148708496.823   -2232034.294
2458680.78  92.00   -2111100.542 -150360867.774     671575.046    2591297.694 -151146822.696    2052245.128    1650054.645 -148699699.065   -2217729.568
2458681.78  93.00     447160.333 -150340126.855     630129.174    5135016.834 -151086209.666    2080147.354    4236285.788 -148646122.043   -2202756.947
2458682.78  94.00    3005291.397 -150275557.534     588499.589    7677264.667 -150982285.617    2107453.226    6821241.864 -148547779.521   -2187120.905
2458683.78  95.00    5562546.248 -150167147.696     546698.307   10217312.590 -150835083.992    2134154.967    9404144.289 -148404698.933   -2170826.119
2458684.78  96.00    8118177.675 -150014897.785     504737.409   12754432.725 -150644650.192    2160244.969   11984215.031 -148216921.376   -2153877.469
2458685.78  97.00   10671437.867 -149818820.841     462629.040   15287898.102 -150411041.560    2185715.791   14560676.858 -147984501.599   -2136280.035
2458686.78  98.00   13221578.618 -149578942.532     420385.405   17816982.849 -150134327.361    2210560.167   17132753.583 -147707507.990   -2118039.093
2458687.78  99.00   15767851.537 -149295301.183     378018.767   20340962.374 -149814588.763    2234771.003   19699670.304 -147386022.558   -2099160.118
2458688.78 100.00   18309508.258 -148967947.803     335541.440   22859113.551 -149451918.816    2258341.383   22260653.650 -147020140.903   -2079648.782
2458689.78 101.00   20845800.647 -148596946.109     292965.789   25370714.907 -149046422.421    2281264.566   24814932.024 -146609972.193   -2059510.946
2458690.78 102.00   23375981.022 -148182372.544     250304.225   27875046.801 -148598216.309    2303533.990   27361735.841 -146155639.129   -2038752.666
2458691.78 103.00   25899302.357 -147724316.296     207569.205   30371391.615 -148107429.005    2325143.275   29900297.780 -145657277.907   -2017380.187
2458692.78 104.00   28415018.503 -147222879.307     164773.224   32859033.931 -147574200.800    2346086.223   32429853.011 -145115038.178   -1995399.941
2458693.78 105.00   30922384.402 -146678176.284     121928.812   35337260.716 -146998683.709    2366356.820   34949639.450 -144529082.997   -1972818.547
2458694.78 106.00   33420656.304 -146090334.708      79048.535   37805361.507 -146381041.440    2385949.237   37458897.985 -143899588.779   -1949642.807
2458695.78 107.00   35909091.981 -145459494.832      36144.986   40262628.590 -145721449.350    2404857.832   39956872.723 -143226745.239   -1925879.705
2458696.78 108.00   38386950.952 -144785809.680      -6769.214   42708357.182 -145020094.401    2423077.152   42442811.226 -142510755.332   -1901536.404
2458697.78 109.00   40853494.695 -144069445.045     -49681.423   45141845.613 -144277175.116    2440601.933   44915964.745 -141751835.192   -1876620.244
2458698.78 110.00   43307986.875 -143310579.478     -92578.979   47562395.504 -143492901.532    2457427.105   47375588.456 -140950214.060   -1851138.740
2458699.78 111.00   45749693.557 -142509404.274    -135449.206   49969311.951 -142667495.147    2473547.786   49820941.695 -140106134.216   -1825099.580
2458700.78 112.00   48177883.434 -141666123.459    -178279.416   52361903.700 -141801188.869    2488959.292   52251288.185 -139219850.896   -1798510.621
2458701.78 113.00   50591828.046 -140780953.768    -221056.914   54739483.324 -140894226.961    2503657.132   54665896.277 -138291632.215   -1771379.889
2458702.78 114.00   52990802.000 -139854124.620    -263768.999   57101367.408 -139946864.979    2517637.012   57064039.165 -137321759.080   -1743715.574
2458703.78 115.00   55374083.199 -138885878.092    -306402.970   59446876.717 -138959369.719    2530894.838   59444995.127 -136310525.102   -1715526.028
2458704.78 116.00   57740953.063 -137876468.886    -348946.132   61775336.379 -137932019.145    2543426.710   61808047.743 -135258236.499   -1686819.763
2458705.78 117.00   60090696.753 -136826164.290    -391385.793   64086076.059 -136865102.331    2555228.932   64152486.121 -134165211.998   -1657605.450
2458706.78 118.00   62422603.393 -135735244.144    -433709.276   66378430.132 -135758919.389    2566298.007   66477605.119 -133031782.737   -1627891.911
2458707.78 119.00   64735966.298 -134604000.792    -475903.914   68651737.857 -134613781.402    2576630.641   68782705.564 -131858292.154   -1597688.123
2458708.78 120.00   67030083.196 -133432739.032    -517957.064   70905343.552 -133430010.345    2586223.742   71067094.474 -130645095.878   -1567003.208
2458709.78 121.00   69304256.454 -132221776.068    -559856.100   73138596.767 -132207939.018    2595074.422   73330085.268 -129392561.617   -1535846.437
2458710.78 122.00   71557793.300 -130971441.449    -601588.427   75350852.450 -130947910.963    2603180.000   75570997.983 -128101069.038   -1504227.223
2458711.78 123.00   73790006.050 -129682077.011    -643141.477   77541471.126 -129650280.384    2610537.997   77789159.484 -126771009.645   -1472155.117
2458712.78 124.00   76000212.333 -128354036.811    -684502.717   79709819.057 -128315412.064    2617146.143   79983903.676 -125402786.652   -1439639.809
2458713.78 125.00   78187735.310 -126987687.058    -725659.653   81855268.420 -126943681.285    2623002.374   82154571.707 -123996814.855   -1406691.122
2458714.78 126.00   80351903.903 -125583406.037    -766599.830   83977197.469 -125535473.731    2628104.836   84300512.173 -122553520.500   -1373319.010
2458715.78 127.00   82492053.015 -124141584.033    -807310.843   86074990.701 -124091185.406    2632451.881   86421081.322 -121073341.141   -1339533.554
2458716.78 128.00   84607523.751 -122662623.249    -847780.333   88148039.026 -122611222.539    2636042.071   88515643.248 -119556725.504   -1305344.959
2458717.78 129.00   86697663.644 -121146937.719    -887995.997   90195739.926 -121096001.488    2638874.179   90583570.092 -118004133.341   -1270763.552
2458718.78 130.00   88761826.871 -119594953.216    -927945.588   92217497.625 -119545948.641    2640947.188   92624242.232 -116416035.281   -1235799.777
2458719.78 131.00   90799374.480 -118007107.155    -967616.923   94212723.244 -117961500.321    2642260.290   94637048.474 -114792912.680   -1200464.192
2458720.78 132.00   92809674.600 -116383848.497   -1006997.882   96180834.968 -116343102.678    2642812.891   96621386.242 -113135257.467   -1164767.468
2458721.78 133.00   94792102.669 -114725637.642   -1046076.416   98121258.203 -114691211.588    2642604.607   98576661.760 -111443571.983   -1128720.381
2458722.78 134.00   96746041.644 -113032946.319   -1084840.550  100033425.735 -113006292.544    2641635.267  100502290.235 -109718368.825   -1092333.814
2458723.78 135.00   98670882.220 -111306257.475   -1123278.384  101916777.889 -111288820.546    2639904.911  102397696.033 -107960170.674   -1055618.749
2458724.78 136.00  100566023.043 -109546065.159   -1161378.104  103770762.683 -109539279.989    2637413.793  104262312.858 -106169510.134   -1018586.266
2458725.78 137.00  102430870.926 -107752874.394   -1199127.977  105594835.983 -107758164.550    2634162.380  106095583.921 -104346929.559    -981247.540
2458726.78 138.00  104264841.057 -105927201.056   -1236516.362  107388461.658 -105945977.068    2630151.350  107896962.112 -102492980.876    -943613.835
2458727.78 139.00  106067357.211 -104069571.740   -1273531.710  109151111.730 -104103229.426    2625381.598  109665910.161 -100608225.416    -905696.501
2458728.78 140.00  107837851.958 -102180523.626   -1310162.570  110882266.527 -102230442.429    2619854.227  111401900.804  -98693233.724    -867506.973
2458729.78 141.00  109575766.869 -100260604.337   -1346397.592  112581414.831 -100328145.678    2613570.558  113104416.941  -96748585.386    -829056.766
2458730.78 142.00  111280552.722  -98310371.799   -1382225.532  114248054.025  -98396877.445    2606532.122  114772951.789  -94774868.838    -790357.469
2458731.78 143.00  112951669.701  -96330394.087   -1417635.254  115881690.239  -96437184.545    2598740.665  116407009.037  -92772681.180    -751420.744
2458732.78 144.00  114588587.601  -94321249.273   -1452615.736  117481838.496  -94449622.197    2590198.145  118006102.993  -90742627.985    -712258.323
2458733.78 145.00  116190786.021  -92283525.274   -1487156.071  119048022.855  -92434753.900    2580906.732  119569758.726  -88685323.108    -672882.002
2458734.78 146.00  117757754.563  -90217819.684   -1521245.473  120579776.549  -90393151.290    2570868.811  121097512.209  -86601388.488    -633303.638
